Feature,Release Label,User Type,User Impact,User Impact Score,Voice of the Client  ,VoC Score,App Store Feedback,App Store Feedback Score,Business Value(Total $ Revenue or Cost Savings ),Business Value Score,Time Criticality(Fixed deadline),Time Criticality Score,Risk Reduction/Opportunity Enablement ,Risk Reduction Score,Third-Party Data(Research Studies),Third-party Data Score,Organizational Value,/,Work Effort,Work Effort Score,Size Point,Priority Score
Accessibility of U - Remaining Features,0,Retail,50K-100K,2,,,,,$0-100K,1,High,8,Critical,13,,,24,,XXL,13,2000,1.8
Add Mortgage Account Number (10),0,Retail,250K-500K,5,,,,,$0-100K,1,Low,1,Low,1,,,8,,S,2,40,4
Adobe Target Ad Server in U,0,Retail,Over 1MM,13,,,,,$1MM-5MM,8,High,8,Low,1,,,30,,L,5,200,6
ATM Preferences,0,Retail,250K-500K,5,,,,,$0-100K,1,Low,1,Low,1,,,8,,XXL,13,1000,0.6
Authorized User (2),0,Retail,250K-500k,5,,,,,$0-100K,1,Low,1,Low,1,,,8,,L,5,200,1.6
Autopay Initiation for Shaw Loans/Lines,0,Retail,100K-250K,3,,,,,$0-100K,1,Low,1,Low,1,All Others ,1,7,,L,5,200,1.4
Business Credit Card EZ Business SSO (1),0,Small_Business,1K-50K,3,,,,,$0-100K,1,Med,3,Low,1,,,8,,M,3,120,2.7
Business Credit Card Reward SSO,0,Small_Business,1K-50K,3,,,,,$0-100K,1,Low,1,Low,1,,,6,,XL,8,500,0.8
Cardless ATM,0,Retail,500K-1MM,8,,,,,$0-100K,1,High,8,Low,1,All Others ,1,19,,XL,8,250,2.4
CEC Phase 2 (Details/Functionality),0,Small_Business,1K-50K,3,,,,,$0-100K,1,Low,1,Low,1,,,6,,XL,8,500,0.8
Change Due Date (3),0,Retail,500K-1MM,8,,,,,$0-100K,1,Low,1,Low,1,,,11,,M,3,80,3.7
Change Due Date,0,Retail,1K-50K,1,,,,,$0-100K,1,Low,1,Low,1,,,4,,M,3,80,1.3
Change Pin (1),0,Retail,Over 1MM,13,,,,,$0-100K,1,Low,1,Low,1,,,16,,M,3,80,5.3
Coupon Book Paperless Opt-In in U (5),0,Retail,250K-500K,5,,,,,$500K-1MM,5,Low,1,Low,1,,,12,,L,5,200,2.4
Digital Advisor SSO (1),0,Wealth,20K+,13,,,,,$0-100K,1,Low,1,Low,1,,,16,,L,5,200,3.2
Manage Recurring Debits (Control Tower) (1),0,Retail,500K-1MM,8,,,,,$0-100K,1,Low,1,Low,1,,,11,,XL,8,500,1.4
Display Nicknames from COA and MarketConnect to U for Securities Accounts,0,Wealth,20K+,13,,,,,$0-100K,1,Low,1,Low,1,,,16,,S,2,40,8
Document Vault,0,Wealth,1K-10K,5,,,,,$0-100K,1,Low,1,Low,1,,,8,,L,5,200,1.6
DRL SHAW Account Detail Updates,0,Retail,250K-500K,5,,,,,$0-100K,1,Low,1,Low,1,,,8,,L,5,300,1.6
DRL Transfer Limits $300k/Seven Days,0,Retail,50K-100K,2,,,,,$0-100K,1,Low,1,High,8,,,12,,L,5,300,2.4
eLending Frictionless Link from U (4),0,Retail,50K-100K,2,,,,,$250K-500K,3,High,8,Low,1,,,14,,M,3,80,4.7
